,report_id,store_id,uptime_last_hour,downtime_last_hour,uptime_last_day,downtime_last_day,uptime_last_week,downtime_last_week
2497,46,2590038656305706364,,,11,0,77,0
2498,46,2590702023683644989,,,0,12,14,70
2499,46,2591471974319711724,,,1,0,63,0
2500,46,2592126943355649752,,,11,0,72,0
2501,46,2592138981311076441,,,10,0,68,0
2502,46,2593802446455546453,0,60,0,14,0,90
2503,46,2594115075249930979,,,0,6,5,61
2504,46,2594173285337178606,,,9,0,75,0
2505,46,2594558492853346144,,,0,12,0,84
2506,46,2594577566641012022,60,0,13,0,96,0
2507,46,2596006077722827851,,,8,0,85,0
2508,46,2597779520910704195,,,10,0,70,0
2509,46,2598698938331379148,,,0,10,0,79
2510,46,2599110983704651752,,,13,0,97,0
2511,46,2599475649067501230,,,9,0,63,0
2512,46,2599611321049050132,,,5,8,53,38
2513,46,2601623541509400542,,,9,0,63,0
2514,46,2602758631128177651,60,0,23,0,161,0
2515,46,2603208997901235365,,,4,0,56,0
2516,46,2604638674847386537,,,1,2,33,13
2517,46,260465380976367836,,,0,0,46,0
2518,46,260481755251486255,,,11,0,72,0
2519,46,2605698168938550591,60,0,23,0,161,0
2520,46,2605925917461885363,,,5,9,49,48
2521,46,2605955502128823279,0,60,0,23,0,161
2522,46,2606900365141915485,60,0,15,0,107,0
2523,46,2607322492170494383,60,0,17,0,119,0
2524,46,2607675503703412899,0,60,0,23,0,161
2525,46,2607803237069552758,,,8,0,60,0
2526,46,2608640798386012709,60,0,10,0,72,0
2527,46,2609226337921638433,0,60,0,23,46,115
2528,46,261116786802362432,,,0,9,20,62
2529,46,2613250577252278476,,,0,2,0,14
2530,46,2613572674085302809,,,0,11,0,71
2531,46,2615707966278347166,,,10,5,56,35
2532,46,2617341871222155295,60,0,6,5,69,8
2533,46,2618140564702512093,60,0,23,0,161,0
2534,46,2618480388897455703,,,0,8,0,52
2535,46,2619071437296185669,,,0,12,13,70
2536,46,2619296338467852730,60,0,23,0,161,0
2537,46,2621362472424554824,,,0,12,14,70
2538,46,2621443239064396301,,,7,5,51,28
2539,46,2621955219536925328,,,12,0,84,0
2540,46,2622185099404016919,60,0,12,0,94,0
2541,46,262328792080722116,,,0,9,0,58
2542,46,2624399680748347538,,,0,1,2,61
2543,46,2625391790828814326,60,0,23,0,161,0
